name	id	beer_style	first_brewed	alcohol_content	original_gravity	final_gravity	ibu_scale	country	brewery_brand	color_srm	from_region	containers
Blaugies Saison d'Epeautre	/m/04dqsnk			6.0					Blaugies		Belgium	/m/04dr5dl
Heineken Export	/m/04dqcg0			5.0					Heineken Brewery		Netherlands	/m/04dr35h
Inveralmond Lia Fail	/m/04dqtn8			4.7					Inveralmond		United Kingdom	/m/04dr60l
Boelens Waase Wolf	/m/04dqrxy			6.5					Boelens		Belgium	/m/04dqzs3
Tyskie Gronie	/m/04dqjtk			5.6					Kompania Piwowarska		Poland	/m/04gdkd5,/m/04dqxqm
Hair of the Dog Fred	/m/04dqb2h	Wheat beer		10.0					Hair of the Dog Brewing		United States of America	/m/04dr2q_
Brasserie Jeanne d'Arc Grain d'Orge	/m/04dq9xt			8.0					Brasserie Jeanne d'Arc		France	/m/04dqxjh
Budels Capucijn	/m/04dqc_r			6.5					Budels		Netherlands	/m/04dr18_
Boon Rawd Singha Lager	/m/04dq9w8			6.0					Boon Rawd Brewery		Thailand	/m/04dr253
Cerveceria Bucanero Mayabe	/m/04dqhcc			4.0					Cerveceria Bucanero		Cuba	/m/04dr5qb
St Bernardus Prior 8	/m/04dqwgx			8.0					St. Bernardus		Belgium	/m/04dq_rr,/m/04dr6fv
Göller Dunkel	/m/04dqflh			5.2					Göller		Germany	/m/04dr6tl
Rogue Artisan Lager	/m/04dqdk7			5.2					Rogue Brewing		United States of America	/m/04dr1yc
Butts Brewery Organic Golden Brown	/m/04dq9j_			5.0					Butts Brewery		United Kingdom	/m/04dr39x
High Falls Brewing Co. Genesee Cream Ale	/m/04dqwx0			4.5					High Falls Brewing Company		United States of America	/m/04dr1qm
Ballard's Wassail	/m/04dqqv4			6.0					Ballard's		United Kingdom	/m/04dqzwr
Dojlidy Magnat	/m/04dqx4g			7.0					Dojlidy Brewery		Poland	/m/04dr2m7
Jennings Cumberland Ale	/m/04dqctd			4.2					Jennings		United Kingdom	/m/04dr33_
Bartram's Comrade Bill Bartram's Egalitarian Anti Imperialist Soviet Stout	/m/04dqdls			6.9					Bartram's		United Kingdom	/m/04dqz3w
Cantillon Vigneronne	/m/04dqckj			5.0					Cantillon Brewery		Belgium	/m/04dr0cw
Cerveceria de Canarias Tropical Premium	/m/04dqlhh			5.5					Cerveceria de Canarias		Spain	/m/04dr68v
Phoenix	/m/04dqbz8			5.0					Phoenix		Mauritius	/m/04dr6b6
Brasseurs Savoyards La Cordée Bière de Savoie	/m/04dq95d			5.5					Brasseurs Savoyards		France	/m/04dr2l_
Cuauhtemoc Moctezuma Cerveza Superior	/m/04dqbm_			4.5					Cuauhtémoc Moctezuma Brewery		Mexico	/m/04dr1j3
Arran Brewery Dark	/m/04dqwjw			4.3					Arran Brewery		United Kingdom	/m/04dr742
Tree Brewing IPA	/m/04dqsm0			4.5					Tree Brewery		Canada	/m/04dr0fh
Anheuser-Busch Bud Light	/m/04dqj89			4.0					Anheuser-Busch		United States of America	/m/04dr267
Minnesota Brewing Company Amber Wheat Ale	/m/04dqkrw			5.0					Minnesota Brewing Company		United States of America	/m/04dq_nr
Schwaben Bräu Meister Pils	/m/04dqjzh			4.9					Schwaben Bräu		Germany	/m/04dr67v
Hebridean Brewery Celtic Black	/m/04dqhtw			3.9					Hebridean Brewing Company		United Kingdom	/m/04dr31_
Smiles Heritage	/m/04dqj3y			5.2					Smiles		United Kingdom	/m/04dr3r0
Diebels Premium	/m/04dqs6s			4.8					Diebels		United Kingdom	/m/04dr2_r
Wolf No. 1	/m/04dqf_5			3.7					Wolf		United Kingdom	/m/04dqxy3
Aldaris Porteris	/m/04dqcwc			6.8					Aldaris		Latvia	/m/04dqyl3
Traquair 1000th Brew	/m/04dqtrs			10.0					Traquair		United Kingdom	/m/04dr5cl
Somerfield German Pilsner	/m/04dqc9n			5.0					Somerfield		United Kingdom	/m/04dqz_7
Woodforde's Head Cracker	/m/04dqhv9			7.0					Woodforde’s Brewery		United Kingdom	/m/04dqysh
Heeren van Beeck De Veldwachter Limburgs Amber	/m/04dqc26			5.0					Heeren van Beeck		Netherlands	/m/04dr1z3
Timmermans Gueze	/m/04dqtq7			5.0					Timmermans		Belgium	/m/04dq_8m
Badger Brewery Tangler	/m/04dqszd			5.0					Badger Brewery		United Kingdom	/m/04dqy5c
Blue Anchor Spingo Christmas Special	/m/04dqs0w			7.6					Blue Anchor		United Kingdom	/m/04dr61z
Charles Wells Bombardier Premium Bitter	/m/04dqq7_			4.3					Charles Wells		United Kingdom	/m/04dqyh7
Brok Premium Lager	/m/04dqc3r			5.2					Brok		Poland	/m/04dr494
Tärnö Bryggeri Nils Oscar God Lager	/m/04dq9dd	Lager		5.3					Tärnö Bryggeri		Sweden	/m/04dr55b
Young's Ram Rod Strong Ale	/m/04dqnmy			5.0					Young's Brewery		United Kingdom	/m/04dr464
Van Den Bossche Pater Lieven Blond	/m/04dqv09			6.5					Van Den Bossche		Belgium	/m/04dr12h
Terken Septante 5	/m/04dqr5j			7.5					Terken		France	/m/04dqyyh
Leffe Brune 6	/m/04dqpmn			6.5					Leffe		Belgium	/m/04dqy5_
Young's Kew Brew	/m/04dqsqj			5.0					Young's Brewery		United Kingdom	/m/04dr3y0
P J Fruh Fruh Kölsch	/m/04dqmh6			4.8					P J Fruh		Germany	/m/04dqzdr
Burton Bridge Empire Pale Ale	/m/04dqvrh			7.5					Burton Bridge Brewery		United Kingdom	/m/04dr5bq
Bavaria Hooghe Bock	/m/04dqgl6			6.5					Bavaria		Netherlands	/m/04dr06m
Stumpf Keiler Weissbier Hell	/m/04dqs57			4.9					Stumpf		Germany	/m/04dqxkr
Cropton King Billy	/m/04dqlkg			3.6					Cropton Brewery		United Kingdom	/m/04dq_j_
Cerveceria Yucateca Montejo	/m/04dqjs0			4.5					Cerveceria Yucateca		Mexico	/m/04dr4v1
Robert Cain Dark Mild	/m/04dqgmr			3.2					Robert Cain		United Kingdom	/m/04dr592
Wychwood Wychcraft Blonde Beer	/m/04dqrs_			4.5					Wychwood Brewery		United Kingdom	/m/04dr11_
Camerons Brewery  Strongarm	/m/0dlfhvx	Bitter							Camerons Brewery			
Dark Star Golden Gate	/m/0dl8hj6			4.5					Dark Star			
Otley O-riginal 	/m/0djz9_l	Bitter							Otley Brewing Company Limited			
Everards Beacon	/m/0dl8hs0			3.8					Everards			
Darwin Brewery Darwin Bitter	/m/0dl8hqn			3.6					Darwin Brewery			
J.W. Lees Scorcher 	/m/0dlfhwt	Golden ale		4.2					JW Lees			
Itaipava	/m/0dkd6ry	Pilsener	1994	4.5					Petrópolis brewery		Petrópolis,Rio de Janeiro,Brazil	
Bavarian Wheat	/m/0gfs8k7								Bridge Road Brewers			
Amber Naturalny	/m/0fpf0g1								Browar Amber			
Rickard's Red	/m/02sjr38	Red Beer	1980	5.2								
Reschs Pilsner	/m/03q4b2l											
Alexander Keiths	/m/02sjr1t											
Everards Tiger Triple Gold	/m/0dl8hsl			5.0					Everards			
Wem Brewing Company All Seasons Ale	/m/0dlfhm_								Wem Brewing Company			
Colorado Demoseille	/m/0djxh0s	Imperial stout										
George Wright Pipe Dream	/m/0dkfstb								George Wright Brewery			
Darwin Brewery Original Flag Porter	/m/0dl8hr0			5.0					Darwin Brewery			
Cheddar Ales Goat's Leap 	/m/0dl8hdv	India Pale Ale		5.5					Cheddar Ales			
Robinson's Old Tom	/m/04dqh4c			8.5					Robinson's Brewery		United Kingdom	/m/04dq_mm
Baltika Porter	/m/04dqp8q			7.0					Baltika Brewery		Russia	/m/04dr5d6
Forst Premium	/m/04dqbry			4.8					Forst		Italy	/m/04dr003
Wadworth & Co. JCB	/m/04dqq9z			4.7					Wadworth Brewery		United Kingdom	/m/04dq_r7
Bavaria Hollandia	/m/04dqvfn			3.0					Bavaria		Netherlands	/m/04dr0_h
Landskron Pupen-Schultzes Schwarzbier	/m/04dqtfy			3.9					Landskron		Germany	/m/04dr3tn
Gordon Biersch Blonde Bock	/m/04dqk8_			7.0					Gordon Biersch		United States of America	/m/04dqyv_
Itchen Valley Tea Clipper	/m/04dqfx_			4.6					Itchen Valley Brewery		United Kingdom	
Skinner's St Piran's Ale	/m/04dqjkp			4.5					Skinner's Brewery		United Kingdom	/m/04dr6vq
Stone Brewing Co. Levitation Ale	/m/04dqp75			4.4					Stone Brewing Company		United States of America	/m/04dr32c
Caledonian Brewery 80/-	/m/04dq9t9			4.1					Caledonian Brewery		United Kingdom	/m/04dqy1r
Harvey's Elizabethan Ale	/m/04dqm1w			8.1					Harveys Brewery		United Kingdom	/m/04dr2_c
ZeroDegrees Reading Peach Wheatbeer	/m/04dqdh8			4.6					ZeroDegrees Reading		United Kingdom	/m/04dr4mx
Marston's Firestoker	/m/04dqtw1			5.0					Marston's		United Kingdom	/m/04dr74v
Roman Ename Dubbel	/m/04dqgr0			6.5					Roman		Belgium	/m/04dqyzr
Champps Wild Red Beer	/m/04dqwdy			5.2					Champps Brewery		Canada	/m/04dr3xs
Chimay Grande Réserve 1997	/m/04dqm67			9.0					Bières de Chimay		Belgium	/m/04dqxwc
Pitfield Shoreditch Stout	/m/04dqv91			4.0					Pitfield		United Kingdom	/m/04dr20_
Big Rock Traditional Ale	/m/04dqvb4			5.0					Big Rock Brewery		Canada	/m/04dqx__
Weihenstephaner Festbier	/m/04dqqtq			5.8					Weihenstephaner		Germany	/m/04dr616
Pivovana Union Pils Quality	/m/04dqcd1			4.9					Pivovana Union		Slovenia	/m/04dr54f
Trafalgar Critical Mass	/m/04dqmn0			14.0					Trafalgar		Canada	/m/04dr0j_
Slaghmuylder Witkap Pater Tripel	/m/04dqgvj			7.5					Slaghmuylder		Belgium	/m/04dr3d0
Unertl Mühldorfer Weissbier	/m/04dqmrj			5.0					Unertl		Germany	/m/04dr3_j
Moortgat Maredsous 8	/m/04dql6j			8.0					Moortgat		Belgium	/m/04dqzfr
Nynäshamns Ångbryggeri Bedarö Bitter	/m/04dqchk	Bitter		4.5					Nynäshamns Ångbryggeri		Sweden	/m/04dr0dr
Ithaca Beer Company Apricot Wheat	/m/04dqf60			4.0					Ithaca Beer Company		United States of America	/m/04dr353
Okocim Mocne	/m/04dqqs5			7.0					Okocim		Poland	/m/04dr72g
Svyturys Stipriausias	/m/04dqm7s			8.0					Švyturys		Lithuania	/m/04dq_m7
La Choulette La Robespierre	/m/04dqpvf			7.5					La Choulette		France	/m/04dr43s
Arcense Bierbrouwerij Karakter	/m/04dqjj4			7.5					Arcense Bierbrouwerij		Netherlands	/m/04dr1nh
Bateman's Valiant Bitter	/m/04dqvcp			4.3					Batemans Brewery		United Kingdom	/m/04dr5pq
Titanic Stout	/m/04dqlt_			4.5					Titanic Brewery		United Kingdom	/m/04dr37n
Coopers Brewery Dark Ale	/m/04dqt2_			4.5					Coopers Brewery		Australia	/m/04dr09c
Ayinger Jahrundert	/m/04dqnvq			5.5					Ayinger		Germany	/m/04dq_t7
San Miguel Premium Lager	/m/04dqt5v			5.0					San Miguel Beer Division		Philippines	/m/04dr11r
Prague Staropramen	/m/04dqs31			5.0					Prague		Czech Republic	/m/04dr5wq
Samuel Smith's Taddy Porter	/m/04dqd8q			5.0					Samuel Smith Brewery		United Kingdom	/m/04dr6jz
Hurlimann's Samichlaus Brown	/m/04dqv5k			14.7					Hurlimann's		Switzerland	/m/04dq_03
Brasserie Artisanale Ratz Bière d'Olt Blonde	/m/04dqkdy			5.0					Brasserie Artisanale Ratz		France	/m/04dr5_2
Darwin Brewery Rolling Hitch	/m/04dqn3z			5.2					Darwin Brewery		United Kingdom	/m/04dr6t6
Northern Star	/m/04dqkyk			4.8					North Yorkshire Brewing Co.		United Kingdom	/m/04dr04w
Hat Lifter Stout	/m/03m2nn6											
Young's Acclaim	/m/04dqf8f			4.0					Young's Brewery		United Kingdom	/m/04dqyd7
Coniston Old Man Ale	/m/04dqtyg			5.0					Coniston		United Kingdom	/m/04dr19h
Brasserie de Milly Milliacus	/m/04dql7d			7.0					Brasserie de Milly		France	/m/04dr4yp
Minnesota Brewing Company Brewer's Cave Roasted Black Barley Ale	/m/04dqrmz			5.1					Minnesota Brewing Company		United States of America	/m/04dqz6w
Banks	/m/04dqp_p			4.7					Banks Barbados Brewery		United Kingdom	/m/04dr4hs
Athenian Brewery S.A. Alfa Hellenic Beer	/m/04dqqlq			5.0					Athenian Brewery S.A.		Greece	/m/04dr28c
Jennings Sneck Lifter	/m/04dqwm1			5.1					Jennings		United Kingdom	/m/04dq_8w
Wentworth Brewery Rampant Gryphon	/m/04dql1h			6.2					Wentworth Brewery		United Kingdom	/m/04dr0sc
Bochkarev Svetloe	/m/04dq9l9			4.5					Bochkarev		Russia	/m/04dr5zq
Webster's Draught Yorkshire Bitter	/m/04dqf2j			3.5					Webster's		United Kingdom	/m/04dr2b7
Wychwood Fiddler's Elbow	/m/04dqmf0			5.2					Wychwood Brewery		United Kingdom	/m/04dr34c
Brasserie des Franches-Montagnes La Salamandre	/m/04dqw58			5.5					Brasserie des Franches-Montagnes		Switzerland	/m/04dr243
Salopian Brewing Company Gingersnap Wheat Beer	/m/04dqtc9			4.7					Salopian Brewing Company		United Kingdom	/m/04dr2v3
Salopian Brewing Company Gingersnap Dark Wheat Beer	/m/04dqqk5			4.7					Salopian Brewing Company		United Kingdom	/m/04dqxs_
Dojlidy Porter	/m/04dqg27			9.5					Dojlidy Brewery		Poland	/m/04dqyfr
Lizard Ales An Gof	/m/04dqgtf			5.2					Lizard Ales		United Kingdom	/m/04dr6wv
Leon Beer	/m/04dqfp_			4.5					Leon		Cyprus	
Young's Triple 'A'	/m/04dqmjj			4.5					Young's Brewery		United Kingdom	/m/04dqykc
De Leckere Hertsfbok	/m/04dqgwd			6.5					De Leckere		Netherlands	/m/04dqy43
Ash Vine Hop & Glory	/m/04dqd75			5.0					Ash Vine		United Kingdom	/m/04dr4l4
Kulmbacher Mönchshof Maingold Landbier	/m/04dqmsd			5.4					Kulmbacher Mönchshof		Germany	/m/04dqzf_
Bier-Company Turn	/m/04dqll_			4.9					Bier-Company		Germany	/m/04dr0hw
Viru Beer	/m/04dqgj0	Pilsener		5.0					Baltic Beer Company Ltd		Estonia	/m/04dr5h2
Broughton Ales Black Douglas	/m/04dqj63			5.2					Broughton Ales		United Kingdom	/m/04dqz2w
Nottingham Road Pickled Pig Porter	/m/04dqw0x			5.5					Nottingham Road		South Africa	/m/04dqyqc
Sprecher Black Bavarian	/m/04dqscl			5.86					Sprecher		United States of America	/m/04dr0yr
Yuengling Light	/m/040_q99			3.5					D. G. Yuengling & Son		United States of America	
Tisbury Brewery Fanfare	/m/04dqlzt			4.5					Tisbury Brewery		United Kingdom	/m/04dqzm3
de Smedt Affligem Dubbel	/m/04dqw6t			7.0					de Smedt		Belgium	/m/04dr63v
Heineken Italia Ichnusa	/m/04dqbjy			5.6					Heineken Italia		Italy	/m/04dr2hm
Wold Top Brewery 5 Wold Rings	/m/04dqly8			5.0					Wold Top Brewery		United Kingdom	/m/04dqzkw
La Binchoise Bière des Ours	/m/04dqntm			8.4					La Binchoise		Belgium	/m/04dq_t3
Brouwerij de Bie Zatte Bie	/m/04dqc00			9.0					Brouwerij de Bie		Belgium	/m/04dqy4_
Celtic Brew Finian's Irish Red Ale	/m/04dqwqk			4.6					Celtic Brew		Republic of Ireland	/m/04dr1xw
De Proefbrouwerij Vlaamse Primitief Wild Ale	/m/04dqg3s			9.0					De Proefbrouwerij		Belgium	/m/04dr1s3
Usher's Founder's Strong Ale	/m/04dqptb			4.5					Usher's		United Kingdom	/m/04dqzbh
La Trappe Ambrée (Koningshoeven)	/m/04dqdvf			5.5					La Trappe		Netherlands	/m/04dqxrh
Orgemont Blonde	/m/04dqcqb			6.0					Orgemont		France	/m/04dqxww
Isle of Skye Hebridean Gold	/m/04dqb5b			4.3					Isle of Skye		United Kingdom	/m/04dr3gs
Fuller's Chiswick Bitter	/m/04dqbw6			3.5					Fuller, Smith and Turner		United Kingdom	/m/04dr4j0
Chiltern Brewery John Hampden's Ale	/m/04dqbxr			4.8					Chiltern Brewery		United Kingdom	/m/04dr0s3
Daleside Brewery Chocolate Stout	/m/04dqgf5			4.0					Daleside Brewery		United Kingdom	/m/04dr6vz
Cesu Light	/m/04dqggq			3.5					Cesu		Latvia	/m/04dr60b
Kronenbourg Premier Cru	/m/04dqhnv			6.0					Kronenbourg		France	/m/04dqyz_
Traquair Bear Ale	/m/04dqhp8			5.0					Traquair		United Kingdom	/m/04dr58b
Ridna Marka Pshenychne Weissbier Etalon	/m/04dqhqt			5.0					Ridna Marka		Ukraine	/m/04dr3nd
Baltika Dark	/m/04dqklv			5.6					Baltika Brewery		Russia	/m/04dqz83
Arkell's 2M Millennium Celebration Ale	/m/04dqm92			5.5					Arkell's Brewery		United Kingdom	/m/04dq_b7
Spaten Franziskaner Hefe-Weissbier Dunkel	/m/04dqmb5			5.0					Spaten Brewery		Germany	/m/04dr0rc
Fuller's Mr. Harry	/m/04dqmcq			4.8					Fuller, Smith and Turner		United Kingdom	/m/04dr1mc
Fischer Adelscott	/m/04dqngx			6.6					Fischer		France	/m/04dr6y6
Hotteterre Blonde	/m/04dqnx0			5.3					Hotteterre		France	/m/04dr53t
Ales of Kent Smugglers Glory	/m/04dqpc3			4.8					Ales of Kent		United Kingdom	/m/04dr505
Black Isle Golden Eye	/m/04dqpgm			4.0					Black Isle Brewery		United Kingdom	/m/04dqzmc
Tui Brewery East India Pale Ale	/m/04dqqzj			4.0					Tui Brewery		New Zealand	/m/04dq_km
St Rieul Biere Blonde sur Lie	/m/04dqr2g			5.5					St Rieul		France	/m/04dr0vh
BGI Lager Beer	/m/04dqr8c			4.5					BGI		Vietnam	/m/04dr73q
Pelforth Blonde	/m/04dqrz7			5.8					Pelforth		France	/m/04dq_2c
Casta (Especialidades Cerveceras) Bruna	/m/04dqs_q			5.5					Casta (Especialidades Cerveceras)		Mexico	/m/04dr706
St. Austell Hicks Strong Ale	/m/04dqstc			5.0					St Austell Brewery		United Kingdom	/m/04dr21m
Brasserie du Mont Blanc Blond du Mont Blanc	/m/04dqtk6			5.8					Brasserie du Mont Blanc		France	/m/04dr51y
Cropton Two Pints	/m/04dqtlr			4.0					Cropton Brewery		United Kingdom	/m/04dr380
La Trappe Tripel (Schaapskooi)	/m/04dqvlg			8.0					La Trappe		Netherlands	/m/04dr05w
Budweiser	/m/01jp3	Pale lager,American pilsner	1876	5.0	1.045	1.009	11.0	United States of America	Anheuser-Busch		United States of America	/m/04dqyvm
Bootlegger's Brown Ale	/m/063hm18	Brown ale							Half Moon Bay Brewing Company			
Hogs Back Santa's Wobble	/m/04dqdjl			7.5					Hogs Back Brewery		United Kingdom	/m/04dqzww
Ambly Cuvée Ermesinde	/m/04dqkmq			7.0					Ambly		Belgium	/m/04dr0hc
Brooklyn Black Chocolate Stout	/m/04dqfrz			8.3					Brooklyn Brewery		United States of America	/m/04dqxzw
Banks and Taylor's Shefford Old Strong	/m/04dqkl5			5.0					Banks and Taylor's		United Kingdom	/m/04dr6_2
Shepherd Neame Spitfire	/m/04dqgd2			4.7					Shepherd Neame		United Kingdom	/m/04dqxvr
Abbaye du Val-Dieu Brune	/m/04dqj_4			6.5					Abbaye du Val-Dieu		Belgium	/m/04dq_6_
Riedenburger Michaeli Dunkel Hefeweizen	/m/04dqghl			5.2					Riedenburger		Germany	/m/04dr6_z
Independent Breweries Bushman's Premium Lager	/m/04dqhn5			5.0					Independent Breweries		Australia	/m/04dr45s
Cooper's Special Old Stout	/m/03q49_w								Coopers Brewery			
Sint-Servattamus Birrebier Schijndels Honingbier	/m/04dqvmb			8.5					Sint-Servattamus		Netherlands	/m/04dr40x
Silly Scotch	/m/04dqtmm			8.0					Silly		Belgium	/m/04dqzj7
L&L Alphand Ambrée	/m/04dqrvr			5.0					L&L Alphand		France	/m/04dr1pc
Bragdy Ceredigion Blodeuwedd (Flower Face) Organic Bitter	/m/04dqr3b			4.5					Bragdy Ceredigion		United Kingdom	/m/04dqyxh
Maclay Thistle Scotch Ale	/m/04dqphh			5.0					Maclay Thistle		United Kingdom	/m/04dr420
Oakhill Best Bitter	/m/04dqnhs			4.0					Oakhill		United Kingdom	/m/04dr3hj
Carlow Brewing Company Curim Gold	/m/04dqng7			4.3					Carlow Brewing Company		Republic of Ireland	/m/04dr3hx
Pivovar Popper Palatin 16 Ležák Exklusiv Tmavý	/m/04dqmdl			6.0					Pivovar Popper		Slovakia	/m/04dr08w
Hampshire Brewery King Alfred's Bitter	/m/04dq98x			3.8					Hampshire Brewery		United Kingdom	/m/04dr1wc
Salzburg Weissbrauerei Hell Die Weisse	/m/04dqm41			5.2					Salzburg Weissbrauerei		Austria	/m/04dqyl7
Cerveceria Modelo Negra Modelo	/m/04dqlnz			5.3					Cerveceria Modelo		Mexico	/m/04dqx_c
Caledonian Brewery Deuchars IPA	/m/04dq9r3	India Pale Ale		4.4					Caledonian Brewery		United Kingdom	/m/04dqy77
Cerveceria Modelo Corona Extra	/m/04dq9vm			4.6					Cerveceria Modelo		Mexico	/m/04dr531
Iceni Thomas Paine Porter	/m/04dqbym			4.2					Iceni		United Kingdom	/m/04dr3qj
Friart St Feuillien Brune	/m/04dqdf2			7.5					Friart		Belgium	/m/04dqzq7
Chevalier ﾓSaisonﾔ	/m/0gfs8k_								Bridge Road Brewers			
Krombacher Radler	/m/07gmvt_	Pilsener		2.5					Krombacher		Germany	/m/07gmw90,/m/07gmw8v
Mayflower Pale Ale	/m/0f6wjs7	Pale ale		4.9	11.9		40.0		Mayflower Brewing Company		United States of America	/m/0f6xscj
Big River ESB	/m/063hmgq	Extra Special/Strong Bitter							Ukiah Brewing Company			
Castle Rock Preservation Fine Ale	/m/0dl8hcg	Bitter		4.4					Castle Rock Brewery			
Larkins Best Bitter	/m/0cj1hp1								Larkins		Kent	
Matilda Bay Premium	/m/03m2n3v											
Czechvar	/m/02hv3c4											
Chang Beer Classic	/m/0g4vpgx		1994	5.0								
Purple Moose Glaslyn Ale	/m/0dkfssz								Purple Moose Brewery			
Colorado Indica	/m/0djxgz1	India Pale Ale										
Miller Lite	/m/02hv36l	Lite American Lager		4.2					Miller Brewing			
Saison Dupont Vieille Provision	/m/02hv3d2	Saison		6.5					Dupont Brasserie			
Leffe Blond	/m/02hv3bp	Belgian Blond Ale							Leffe			
BC's Gluten Free Pilsner Beer	/m/04dqmch			4.3					BC's		Republic of Macedonia	/m/04dr21_
Mendocino Brewing Company Eye of the Hawk Millennium Edition	/m/04dqb98			8.0					Mendocino Brewing Company		United States of America	/m/04dr2wm
Van Honsebrouck St Louis Gueuze Fond Tradition	/m/04dqb4x			6.5					Van Honsebrouck		Belgium	/m/04dr5nv
Dent Kamikaze	/m/04dqk_9			5.0					Dent		United Kingdom	/m/04dr04c
Jämtlands Bryggeri Hell	/m/04dqssy			5.1					Jämtlands Bryggeri		Sweden	/m/04dr4t1
St. Austell 1851 Vintage Ale	/m/04dqkh3			10.2					St Austell Brewery		United Kingdom	/m/04dr6p6
Náchod Primátor 15% Jubilejni Ležák Polotmavy/Jubilee Dark Lager	/m/04dqch_			6.0					Náchod		Czech Republic	/m/04dr3wd
Hepworth & Co. Iron Horse	/m/04dqggh			4.8					Hepworth & Co.		United Kingdom	/m/04dqz8h
Pearce Boltens Landbier	/m/04dqcpx			4.9					Pearce		Germany	/m/04dr27_
Hell Brewery The Beer from Hell	/m/04dq97t			4.9					Hell Brewery		Slovakia	/m/04dr6fg
Warcop Fulcrum	/m/04dq9rk			5.6					Warcop		United Kingdom	/m/04dqy6_
Brasserie de Lutèce Lutèce Pur Malt	/m/04dqr7y			6.4					Brasserie de Lutèce		France	/m/04dr2dr
Islay Ales Nerabus Ale	/m/04dqq6p			4.8					Islay Ales		United Kingdom	/m/04dqxq7
Friart La Grisette Ambrée	/m/04dqndq			5.0					Friart		Belgium	/m/04dr2q3
RCH Brewery East Street Cream	/m/04dqw70			5.0					RCH Brewery		United Kingdom	/m/04dqzx3
St. Austell Tribute	/m/04dqnc5			4.2					St Austell Brewery		United Kingdom	/m/04dr0pm
Sharp's Chalky's Bite	/m/04dq9n1			6.8					Sharp's		United Kingdom	/m/04dqxb_
Gutmann Dunkles Hefeweizen	/m/04dqq54			5.2					Gutmann		Germany	/m/04dr5bl
Moortgat Maredsous 10	/m/04dqrq4			10.0					Moortgat		Belgium	/m/04dr19r
Little Valley Withens IPA	/m/04dqfnx			3.9					Little Valley		United Kingdom	/m/04dr323
Kloster Andechs Andechser Spezial Hell	/m/04dqs_h			5.9					Kloster Andechs		Germany	/m/04dr4y5
Erdinger Weissbier Dunkel	/m/04dqgdj			5.6					Erdinger		Germany	/m/04dr58g
Harvey's Blue Label	/m/04dqdfj			3.6					Harveys Brewery		United Kingdom	/m/04dqy13
De Gans Scotch Ale	/m/04dqklm			8.0					De Gans		Netherlands	/m/04dr19_
Tinima Superior	/m/04dqpgd			4.6					Tinima		Cuba	/m/04dqzl3
Cesu Cuba	/m/04dqrrp			4.8					Cesu		Latvia	/m/04dqxrm
Brouwerij de Drie Kruizen Karthuizer Ipso Facto	/m/04dqx6w			10.5					Brouwerij de Drie Kruizen		Netherlands	/m/04dqyhc
Courage Light Ale	/m/04d2v79											
Arcadia Brewing Company India Pale Ale	/m/04dqdb0			5.8					Arcadia Brewing Company		United States of America	/m/04dr07c
Tennent's Velvet	/m/04dqhnm			3.5					Tennent's		United Kingdom	/m/04dr0f3
Tennent's Robert Burns Scottish Ale	/m/04dq968			4.2					Tennent's		United Kingdom	/m/04dr02_
Mount Shivalik Brewery Thunderbolt Super Strong	/m/04dqpdf			7.25					Mount Shivalik Brewery		India	/m/04dr1zr
Skinner's Betty Stogs Bitter	/m/04dqj_l			4.0					Skinner's Brewery		United Kingdom	
Dogfish Head World Wide Stout	/m/04dqk0x			18.0					Dogfish Head Brewery		United States of America	/m/04dqx_3
Geuzestekerij 3 Fonteinen Millennium Geuze	/m/04dqk58			7.0							Belgium	/m/04dq_47
Wicked Hathern Offie Gold	/m/04dqt0t			5.0					Wicked Hathern		United Kingdom	/m/04dr56q
Wm. Younger's No. 3 Ale	/m/04dqmkd			4.5					Wm. Younger's		United Kingdom	/m/04dr5rq
Cwmbran Plum Porter	/m/04dqk6t			4.8					Cwmbran		United Kingdom	/m/04dr02h
Charles Wells Wells Premium Lager	/m/04dqkm1			5.0					Charles Wells		United Kingdom	/m/04dr61v
Palm Dobbel	/m/04dqsxw			5.8					Palm		Belgium	/m/04dr2_h
Som Brewery Sunny Beaches	/m/04dqc2f			4.8					Som Brewery		India	/m/04dr1wh
Privatbrauerei Franz Joseph Sailer Altenmunster Premium	/m/04dqbg9			4.8					Privatbrauerei Franz Joseph Sailer		Germany	/m/04dqxwh
Krombacher Rhenania Alt	/m/04dqkqk			4.8					Krombacher		Germany	/m/04dr3wj
Gilde Brewery Bergadler Premium Pils	/m/04dq9bw			4.9					Gilde Brewery		Germany	/m/04dr4vt
Vaux Breweries Ltd Waggle Dance	/m/04dqlq8			5.0					Vaux Breweries Ltd		United Kingdom	/m/04dqxtw
Faxe Extra Strong	/m/04dqs5g			10.0					Faxe Brewery		Denmark	/m/04dr0_r
Stumpf Keiler Weissbier Dunkel	/m/04dqlrt			4.9					Stumpf		Germany	/m/04dqzx7
Jämtlands Bryggeri Julöl	/m/04dqm_l			6.5					Jämtlands Bryggeri		Sweden	/m/04dr35w
Musketiers Troubadour Blond	/m/04dqrv2			6.5					Musketiers		Belgium	/m/04dqx9w
Heineken Van Vollenhoven's Stout	/m/04dqmhf			6.5					Heineken Brewery		Netherlands	/m/04dr04_
Young's Champion	/m/04dqplb			5.0					Young's Brewery		United Kingdom	/m/04dqzv7
De Ranke XX Bitter	/m/04dqc8b			6.2					De Ranke		Belgium	/m/04dr498
